市区町村コード,市区町村,寄付額,控除額,寄付－控除額
10207,群馬県 館林市,113426,82214,31212
10208,群馬県 渋川市,192673,53761,138912
10209,群馬県 藤岡市,22946,45824,-22878
10210,群馬県 富岡市,190445,42384,148061
10211,群馬県 安中市,121620,55313,66307
10212,群馬県 みどり市,16375,42762,-26387
10344,群馬県 北群馬郡 榛東村,456498,11295,445203
10345,群馬県 北群馬郡 吉岡町,12661,21067,-8406
10366,群馬県 多野郡 上野村,2547,47,2500
10367,群馬県 多野郡 神流町,6061,412,5649
10382,群馬県 甘楽郡 下仁田町,57614,3246,54368
10383,群馬県 甘楽郡 南牧村,2061,181,1880
10384,群馬県 甘楽郡 甘楽町,31332,8449,22883
10421,群馬県 吾妻郡 中之条町,287422,6606,280816
10424,群馬県 吾妻郡 長野原町,38556,3805,34751
10425,群馬県 吾妻郡 嬬恋村,106726,6081,100645
10426,群馬県 吾妻郡 草津町,701269,4516,696753
10428,群馬県 吾妻郡 高山村,8211,621,7590
10429,群馬県 吾妻郡 東吾妻町,8352,6625,1727
10443,群馬県 利根郡 片品村,58155,1084,57071
10444,群馬県 利根郡 川場村,43444,783,42661
10448,群馬県 利根郡 昭和村,762860,4325,758535
10449,群馬県 利根郡 みなかみ町,280056,9206,270850
10464,群馬県 佐波郡 玉村町,98751,36166,62585
10521,群馬県 邑楽郡 板倉町,16796,12528,4268
10522,群馬県 邑楽郡 明和町,27520,7221,20299
10523,群馬県 邑楽郡 千代田町,275211,8773,266438
10524,群馬県 邑楽郡 大泉町,50726,32279,18447
10525,群馬県 邑楽郡 邑楽町,12285,17750,-5465
11100,埼玉県 さいたま市,55119,5405204,-5350085
11201,埼玉県 川越市,63169,605711,-542542
11202,埼玉県 熊谷市,43307,296276,-252969
11203,埼玉県 川口市,49749,1321647,-1271898
11206,埼玉県 行田市,31000,67937,-36937
11207,埼玉県 秩父市,597025,41567,555458
11208,埼玉県 所沢市,54515,698567,-644052
11209,埼玉県 飯能市,289868,105768,184100
11210,埼玉県 加須市,25827,100230,-74403
11211,埼玉県 本庄市,33390,80535,-47145
11212,埼玉県 東松山市,11826,124187,-112361
11214,埼玉県 春日部市,36991,293434,-256443
11215,埼玉県 狭山市,54567,192102,-137535
11216,埼玉県 羽生市,152167,52547,99620
11217,埼玉県 鴻巣市,96466,171615,-75149
11218,埼玉県 深谷市,401473,161918,239555
11219,埼玉県 上尾市,73254,437490,-364236
11221,埼玉県 草加市,44618,483716,-439098
11222,埼玉県 越谷市,7255,716585,-709330
11223,埼玉県 蕨市,41254,159704,-118450
11224,埼玉県 戸田市,10898,401431,-390533
11225,埼玉県 入間市,18628,189557,-170929
11227,埼玉県 朝霞市,18056,378285,-360229
11228,埼玉県 志木市,62222,207623,-145401
